Country,Code,Year,Subscription
Fiji,FJI,2014,1.43423821
Fiji,FJI,2016,1.413573376
Finland,FIN,2018,31.45271337
Finland,FIN,2012,30.42788521
Finland,FIN,2014,32.19863878
Finland,FIN,2016,31.1402214
France,FRA,2018,44.77576734
France,FRA,2012,37.72562555
France,FRA,2014,40.45422009
France,FRA,2016,42.80350858
French Guiana,GUF,2018,0
French Guiana,GUF,2018,0
French Guiana,GUF,2018,0
French Guiana,GUF,2018,0
French Polynesia,PYF,2018,21.5320568
French Polynesia,PYF,2012,14.94434903
French Polynesia,PYF,2014,18.30661931
French Polynesia,PYF,2016,20.19229719
Gabon,GAB,2018,1.373063902
Gabon,GAB,2012,0.285766214
Gabon,GAB,2014,0.573309268
Gabon,GAB,2016,0.747955672
Gambia,GMB,2018,0.194421809
Gambia,GMB,2012,0.02624654
Gambia,GMB,2014,0.135520903
Gambia,GMB,2016,0.174488725
Georgia,GEO,2018,21.53768403
Georgia,GEO,2012,11.39369888
Georgia,GEO,2014,14.88921176
Georgia,GEO,2016,16.9604403
Germany,DEU,2018,41.11294951
Germany,DEU,2012,34.52611171
Germany,DEU,2014,36.30777257
Germany,DEU,2016,38.76437445
Ghana,GHA,2018,0.205824537
Ghana,GHA,2012,0.262081938
Ghana,GHA,2014,0.257746036
Ghana,GHA,2016,0.304038225
Gibraltar,GIB,2018,56.28744291
Gibraltar,GIB,2012,35.60304345
Gibraltar,GIB,2014,38.54707191
Gibraltar,GIB,2016,48.62317337
Greece,GRC,2018,37.6522655
Greece,GRC,2012,24.94570836
Greece,GRC,2014,29.49197754
Greece,GRC,2016,34.0552614
Greenland,GRL,2018,23.32225444
Greenland,GRL,2012,20.15229325
Greenland,GRL,2016,19.44593037
Greenland,GRL,2014,18.44593037
Grenada,GRD,2018,24.2135769
Grenada,GRD,2012,14.89120116
Grenada,GRD,2014,17.27332831
Grenada,GRD,2016,18.88337672
Guam,GUM,2014,1.863168878
Guatemala,GTM,2012,1.835545828
Guatemala,GTM,2014,2.723906121
Guatemala,GTM,2016,3.05130363
Guinea,GIN,2018,0.009770995
Guinea,GIN,2012,0.006571517
Guinea,GIN,2014,0.008071038
Guinea,GIN,2016,0.00937093
Guinea-Bissau,GNB,2018,0.064237212
Guinea-Bissau,GNB,2012,0.074954252
Guinea-Bissau,GNB,2014,0.08242552
Guinea-Bissau,GNB,2016,0.049707199
Guyana,GUY,2018,9
Guyana,GUY,2012,3.968895908
Guyana,GUY,2014,5.924310304
Guyana,GUY,2016,7.41578598
Haiti,HTI,2018,0.279596353
Haiti,HTI,2012,0
Haiti,HTI,2014,0
Haiti,HTI,2016,0.012435459
Honduras,HND,2018,3.701279642
Honduras,HND,2012,0.70916782
Honduras,HND,2014,1.762608802
Honduras,HND,2016,2.377207133
Hong Kong,HKG,2018,36.82553485
Hong Kong,HKG,2012,32.00067605
Hong Kong,HKG,2014,31.97449917
Hong Kong,HKG,2016,36.25336886
Hungary,HUN,2018,31.7234027
Hungary,HUN,2012,24.289822
Hungary,HUN,2014,26.31860651
Hungary,HUN,2016,28.85809714
Iceland,ISL,2018,40.9811917
Iceland,ISL,2012,34.82859003
Iceland,ISL,2014,36.41180302
Iceland,ISL,2016,38.53723292
India,IND,2018,1.343296766
India,IND,2012,1.183631838
India,IND,2014,1.215652255
India,IND,2016,1.408310236
Indonesia,IDN,2018,3.315312884
Indonesia,IDN,2012,1.200635671
Indonesia,IDN,2014,1.332663991
Indonesia,IDN,2016,1.998572155
Iran,IRN,2018,12.70539134
Iran,IRN,2012,5.035343054
Iran,IRN,2014,7.932819876
Iran,IRN,2016,9.562818677
Iraq,IRQ,2016,8.432341
Iraq,IRQ,2014,4.773331
Iraq,IRQ,2012,2.415351
Iraq,IRQ,2018,11.68854336
Ireland,IRL,2018,29.6794357
Ireland,IRL,2012,24.13268701
Ireland,IRL,2014,27.20554227
Ireland,IRL,2016,28.96652504
Israel,ISR,2018,29.05202352
Israel,ISR,2012,25.43679855
Israel,ISR,2014,27.13193543
Israel,ISR,2016,27.84565516
Italy,ITA,2018,28.13997577
Italy,ITA,2012,22.98510954
Italy,ITA,2014,23.80827259
Italy,ITA,2016,25.65528181
Jamaica,JAM,2018,9.702584155
Jamaica,JAM,2012,4.329355568
Jamaica,JAM,2014,5.271188628
Jamaica,JAM,2016,9.843247417
Japan,JPN,2018,32.62230968
Japan,JPN,2012,28.1353374
Japan,JPN,2014,29.48375616
Japan,JPN,2016,31.15573635
Jordan,JOR,2018,4.009867021
Jordan,JOR,2012,3.711933381
Jordan,JOR,2014,3.944273844
Jordan,JOR,2016,3.111943687
Kazakhstan,KAZ,2018,13.43532382
Kazakhstan,KAZ,2012,9.774035498
Kazakhstan,KAZ,2014,12.41430847
Kazakhstan,KAZ,2016,13.17880684
Kenya,KEN,2018,0.722863317
Kenya,KEN,2012,0.122561459
Kenya,KEN,2014,0.218014733
Kenya,KEN,2016,0.270535882
Kiribati,KIR,2018,0.075099053
Kiribati,KIR,2012,0.752091755
Kiribati,KIR,2014,0.457075993
Kiribati,KIR,2016,0.097756923
Kuwait,KWT,2018,2.509382904
Kuwait,KWT,2012,1.403465604
Kuwait,KWT,2014,1.300481368
Kuwait,KWT,2016,2.562375612
Kyrgyzstan,KGZ,2018,3.975425244
Kyrgyzstan,KGZ,2012,0.971506923
Kyrgyzstan,KGZ,2014,2.920781339
Kyrgyzstan,KGZ,2016,3.965424993
Laos,LAO,2018,0.642624867
Laos,LAO,2012,0.117588094
Laos,LAO,2014,0.242764945
Laos,LAO,2016,0.356800314
Latvia,LVA,2018,27.27540487
Latvia,LVA,2012,23.01292015
Latvia,LVA,2014,24.98492247
Latvia,LVA,2016,26.29605129
Lebanon,LBN,2016,24.12351
Lebanon,LBN,2018,35.12513
Lebanon,LBN,2012,8.599103729
Lebanon,LBN,2014,18.0822719
Lesotho,LSO,2018,0.273344565
Lesotho,LSO,2012,0.081191309
Lesotho,LSO,2014,0.073503324
Lesotho,LSO,2016,0.107468326
Liberia,LBR,2012,0.01267029
Liberia,LBR,2014,0.137630273
Liberia,LBR,2018,0.187630273
Liberia,LBR,2016,0.174414029
Libya,LBY,2018,3.5
Libya,LBY,2012,1.070676075
Libya,LBY,2014,0.987105231
Libya,LBY,2016,2.60190673
Liechtenstein,LIE,2018,44.08335532
Liechtenstein,LIE,2012,39.37184214
Liechtenstein,LIE,2014,41.93643715
Liechtenstein,LIE,2016,42.31504594
Lithuania,LTU,2018,28.15668213
Lithuania,LTU,2012,25.24529963
Lithuania,LTU,2014,26.9851526
Lithuania,LTU,2016,29.68486173
Luxembourg,LUX,2018,37.12070435
Luxembourg,LUX,2012,31.9671776
Luxembourg,LUX,2014,33.68703518
Luxembourg,LUX,2016,35.06173351
Macao,MAC,2018,30.56459733
Macao,MAC,2012,25.63581596
Macao,MAC,2014,27.36289579
Macao,MAC,2016,29.03860087
Madagascar,MDG,2018,0.103612351
Madagascar,MDG,2012,0.139067856
Madagascar,MDG,2014,0.10527816
Madagascar,MDG,2016,0.10598782
Malawi,MWI,2018,0.062601908
Malawi,MWI,2012,0.008041042
Malawi,MWI,2014,0.052555159
Malawi,MWI,2016,0.050519431
Malaysia,MYS,2018,8.551120205
Malaysia,MYS,2012,10.04844161
Malaysia,MYS,2014,10.24890578
Malaysia,MYS,2016,8.860455132
Maldives,MDV,2018,9.238388508
Maldives,MDV,2012,4.546152549
Maldives,MDV,2014,4.561222027
Maldives,MDV,2016,6.163672
Mali,MLI,2018,0.633900781
Mali,MLI,2012,0.027034645
Mali,MLI,2014,0.069362489
Mali,MLI,2016,0.119362489
Malta,MLT,2018,43.6730503
Malta,MLT,2012,32.18470919
Malta,MLT,2014,35.22967385
Malta,MLT,2016,39.27176752
Marshall Islands,MHL,2014,2.399482327
Marshall Islands,MHL,2012,0.83415
Marshall Islands,MHL,2018,3.6733441
Marshall Islands,MHL,2016,1.732051615
Mauritania,MRT,2018,0.300273907
Mauritania,MRT,2012,0.180679904
Mauritania,MRT,2014,0.203515941
Mauritania,MRT,2016,0.267585246
Mauritius,MUS,2018,21.67797125
Mauritius,MUS,2012,11.2326564
Mauritius,MUS,2014,14.4748301
Mauritius,MUS,2016,16.84807804
Mexico,MEX,2018,14.54862775
Mexico,MEX,2012,11.15102982
Mexico,MEX,2014,10.82838697
Mexico,MEX,2016,12.91132337
Micronesia (country),FSM,2012,2.877724624
Micronesia (country),FSM,2018,4.5126453
Micronesia (country),FSM,2014,3.41553
Micronesia (country),FSM,2016,2.875289207
Moldova,MDA,2018,15.37866762
Moldova,MDA,2012,10.26836887
Moldova,MDA,2014,12.50046951
Moldova,MDA,2016,13.70884816
Monaco,MCO,2018,51.24347242
Monaco,MCO,2012,44.59133297
Monaco,MCO,2014,47.69304968
Monaco,MCO,2016,48.89414237
Mongolia,MNG,2018,9.657070685
Mongolia,MNG,2012,3.900062945
Mongolia,MNG,2014,6.708835186
Mongolia,MNG,2016,7.399216847
Montenegro,MNE,2018,25.33079328
Montenegro,MNE,2012,14.02212725
Montenegro,MNE,2014,16.57445603
Montenegro,MNE,2016,18.30935619
Morocco,MAR,2018,4.309292493
Morocco,MAR,2012,2.07431284
Morocco,MAR,2014,2.9054768
Morocco,MAR,2016,3.574041694
Mozambique,MOZ,2018,0.237801704
Mozambique,MOZ,2012,0.118402437
Mozambique,MOZ,2014,0.140701253
Mozambique,MOZ,2016,0.167441983
Myanmar,MMR,2018,0.240279346
Myanmar,MMR,2012,0.040279346
Myanmar,MMR,2014,0.100279346
Myanmar,MMR,2016,0.169074673
Namibia,NAM,2018,2.531061336
Namibia,NAM,2012,1.095917
Namibia,NAM,2014,1.812773074
Namibia,NAM,2016,2.728659855
Nepal,NPL,2018,2.81879649
Nepal,NPL,2012,0.854483705
Nepal,NPL,2014,0.931398963
Nepal,NPL,2016,0.822288228
Netherlands,NLD,2018,43.4167118
Netherlands,NLD,2012,39.62638996
Netherlands,NLD,2014,40.55640475
Netherlands,NLD,2016,42.53368191
New Caledonia,NCL,2012,18.37692258
New Caledonia,NCL,2016,24.37692258
New Caledonia,NCL,2018,27.37692258
New Caledonia,NCL,2014,21.77493753
New Zealand,NZL,2018,34.72389862
New Zealand,NZL,2012,28.46620209
New Zealand,NZL,2014,30.87009666
New Zealand,NZL,2016,32.84852868
Nicaragua,NIC,2018,2.975995209
Nicaragua,NIC,2012,1.693465269
Nicaragua,NIC,2014,1.813672127
Nicaragua,NIC,2016,2.808133409
Niger,NER,2018,0.05
Niger,NER,2012,0.020617908
Niger,NER,2014,0.155684622
Niger,NER,2016,0.03707285
Nigeria,NGA,2018,0.037761388
Nigeria,NGA,2012,0.008538601
Nigeria,NGA,2014,0.008922653
Nigeria,NGA,2016,0.058039826
North Macedonia,MKD,2018,20.54598343
North Macedonia,MKD,2012,15.05449125
North Macedonia,MKD,2014,17.04198
North Macedonia,MKD,2016,18.33628661
Norway,NOR,2018,41.32402966
Norway,NOR,2012,37.05288839
Norway,NOR,2014,38.44860193
Norway,NOR,2016,40.12560396
Oman,OMN,2018,9.171272567
Oman,OMN,2012,3.239652959
Oman,OMN,2014,4.396612089
Oman,OMN,2016,6.354835519
Pakistan,PAK,2018,0.853498388
Pakistan,PAK,2012,0.809914543
Pakistan,PAK,2014,1.028485633
Pakistan,PAK,2016,0.806754449
Palau,PLW,2016,7.090702948
Palau,PLW,2018,7.490702948
Palau,PLW,2012,5.090702948
Palau,PLW,2014,6.297515035
Palestine,PSE,2018,7.486892294
Palestine,PSE,2012,4.394124538
Palestine,PSE,2014,5.309577051
Palestine,PSE,2016,6.917772552
Panama,PAN,2018,12.93361128
Panama,PAN,2012,7.816712663
Panama,PAN,2014,7.94770685
Panama,PAN,2016,10.64955891
Papua New Guinea,PNG,2018,0.25
Papua New Guinea,PNG,2012,0.120560854
Papua New Guinea,PNG,2014,0.166106059
Papua New Guinea,PNG,2016,0.205518486
Paraguay,PRY,2018,4.610364537
Paraguay,PRY,2012,2.120247985
Paraguay,PRY,2014,2.805125701
Paraguay,PRY,2016,3.639195311
Peru,PER,2018,7.927901427
Peru,PER,2012,4.889668099
Peru,PER,2014,5.872502219
Peru,PER,2016,6.857530252
Philippines,PHL,2018,3.552217048
Philippines,PHL,2012,2.208148996
Philippines,PHL,2014,2.885194853
Philippines,PHL,2016,2.879936428
Poland,POL,2018,20.70435756
Poland,POL,2012,18.01780959
Poland,POL,2014,18.99093512
Poland,POL,2016,19.28946685
Portugal,PRT,2018,36.90145066
Portugal,PRT,2012,22.71240781
Portugal,PRT,2014,27.43056442
Portugal,PRT,2016,32.69172996
Puerto Rico,PRI,2018,20.03644563
Puerto Rico,PRI,2012,16.20849229
Puerto Rico,PRI,2014,17.67203139
Puerto Rico,PRI,2016,20.92064725
Qatar,QAT,2018,9.631079325
Qatar,QAT,2012,8.429911028
Qatar,QAT,2014,9.168517541
Qatar,QAT,2016,9.558487237
Romania,ROU,2018,26.09438251
Romania,ROU,2012,17.50757843
Romania,ROU,2014,20.04593248
Romania,ROU,2016,22.47643939
Russia,RUS,2018,22.0008863
Russia,RUS,2012,14.53068301
Russia,RUS,2014,17.24714162
Russia,RUS,2016,18.94519321
Rwanda,RWA,2018,0.060973974
Rwanda,RWA,2012,0.052115359
Rwanda,RWA,2014,0.026318093
Rwanda,RWA,2016,0.186145531
,,,
,,,
,,,
S. Sudan,SSD,2018,0.00182217
Saint Kitts and Nevis,KNA,2018,55.81892031
Saint Kitts and Nevis,KNA,2012,26.0588931
Saint Kitts and Nevis,KNA,2014,27.60861858
Saint Kitts and Nevis,KNA,2016,27.46343826
Saint Lucia,LCA,2018,17.73884072
Saint Lucia,LCA,2012,13.91087259
Saint Lucia,LCA,2014,15.81583434
Saint Lucia,LCA,2016,16.5455717
Saint Vincent and the Grenadines,VCT,2018,22.33261653
Saint Vincent and the Grenadines,VCT,2012,12.55683128
Saint Vincent and the Grenadines,VCT,2014,13.51815618
Saint Vincent and the Grenadines,VCT,2016,19.97551595
Samoa,WSM,2012,0.573275019
Samoa,WSM,2014,1.051393968
Samoa,WSM,2016,1.114966458
San Marino,SMR,2018,32.13852301
San Marino,SMR,2012,30.84254789
San Marino,SMR,2014,35.5105014
San Marino,SMR,2016,35.81661891
Sao Tome and Principe,STP,2018,0.737816783
Sao Tome and Principe,STP,2012,0.4129424
Sao Tome and Principe,STP,2014,0.562007286
Sao Tome and Principe,STP,2016,0.701186358
Saudi Arabia,SAU,2018,20.24129125
Saudi Arabia,SAU,2014,15.567812
Saudi Arabia,SAU,2012,8.712604056
Saudi Arabia,SAU,2016,19.71905451
Senegal,SEN,2018,0.818830296
Senegal,SEN,2012,0.713035793
Senegal,SEN,2014,0.729198612
Senegal,SEN,2016,0.655970089
Serbia,SRB,2018,17.6326636
Serbia,SRB,2012,11.9011583
Serbia,SRB,2014,13.3854722
Serbia,SRB,2016,16.38766731
Seychelles,SYC,2018,20.27786933
Seychelles,SYC,2012,11.42187618
Seychelles,SYC,2014,12.55320278
Seychelles,SYC,2016,14.66408944
Singapore,SGP,2018,25.94181953
Singapore,SGP,2012,26.68416806
Singapore,SGP,2014,26.67571059
Singapore,SGP,2016,28.15711098
Slovakia,SVK,2018,27.65439443
Slovakia,SVK,2012,19.30769033
Slovakia,SVK,2014,21.94251661
Slovakia,SVK,2016,24.55972553
Slovenia,SVN,2018,29.48956054
Slovenia,SVN,2012,24.75120552
Slovenia,SVN,2014,26.88359013
Slovenia,SVN,2016,28.41197372
Solomon Islands,SLB,2018,0.227921275
Solomon Islands,SLB,2012,0.383409793
Solomon Islands,SLB,2014,0.227396994
Solomon Islands,SLB,2016,0.264594681
Somalia,SOM,2018,0.8
Somalia,SOM,2012,0.314576624
Somalia,SOM,2014,0.521470894
Somalia,SOM,2016,0.648543358
South Africa,ZAF,2018,1.915495359
South Africa,ZAF,2012,2.095673475
South Africa,ZAF,2014,3.128313254
South Africa,ZAF,2016,2.04735491
South Korea,KOR,2018,41.59692858
South Korea,KOR,2012,36.4611027
South Korea,KOR,2014,37.93662915
South Korea,KOR,2016,40.31833895
S. Sudan,SSD,2012,0.00016809
S. Sudan,SSD,2014,0.000947429
S. Sudan,SSD,2016,0.00138472
Spain,ESP,2018,32.50380176
Spain,ESP,2012,24.48744939
Spain,ESP,2014,27.80150894
Spain,ESP,2016,30.26250082
Sri Lanka,LKA,2018,7.274625469
Sri Lanka,LKA,2012,1.724087549
Sri Lanka,LKA,2014,2.730359091
Sri Lanka,LKA,2016,4.244216462
Sudan,SDN,2018,0.075002034
Sudan,SDN,2012,0.068489663
Sudan,SDN,2014,0.054403043
Sudan,SDN,2016,0.06619246
Suriname,SUR,2018,12.70438723
Suriname,SUR,2012,5.407532633
Suriname,SUR,2014,8.386456596
Suriname,SUR,2016,12.6072779
Sweden,SWE,2018,39.5330035
Sweden,SWE,2012,32.2040715
Sweden,SWE,2014,33.85641403
Sweden,SWE,2016,37.41119745
Switzerland,CHE,2018,45.55542119
Switzerland,CHE,2012,40.11446287
Switzerland,CHE,2014,43.09024053
Switzerland,CHE,2016,45.05910977
Syria,SYR,2018,7.841153913
Syria,SYR,2012,1.184772768
Syria,SYR,2014,2.67864754
Syria,SYR,2016,5.780594112
Tajikistan,TJK,2012,0.068572865
Tajikistan,TJK,2014,0.073914012
Tajikistan,TJK,2018,0.079255443
Tajikistan,TJK,2016,0.069255443
Tanzania,TZA,2018,1.529357877
Tanzania,TZA,2012,0.087826438
Tanzania,TZA,2014,0.169333567
Tanzania,TZA,2016,0.600336706
Thailand,THA,2018,13.23520776
Thailand,THA,2012,6.66165831
Thailand,THA,2014,7.94871373
Thailand,THA,2016,10.46667116
Timor,TLS,2018,0.04755618
Timor,TLS,2012,0.052957032
Timor,TLS,2014,0.087539203
Timor,TLS,2016,0.054293981
Togo,TGO,2018,0.331546351
Togo,TGO,2012,0.612550487
Togo,TGO,2014,0.176660129
Togo,TGO,2016,0.649311826
Tonga,TON,2018,2.440962431
Tonga,TON,2012,1.46003874
Tonga,TON,2014,1.781684286
Tonga,TON,2016,2.966390792
Trinidad and Tobago,TTO,2018,24.62148602
Trinidad and Tobago,TTO,2012,14.97673665
Trinidad and Tobago,TTO,2014,18.21183327
Trinidad and Tobago,TTO,2016,18.55302128
Tunisia,TUN,2018,8.771097018
Tunisia,TUN,2012,4.861324816
Tunisia,TUN,2014,5.129970973
Tunisia,TUN,2016,5.664102223
Turkey,TUR,2018,16.28274432
Turkey,TUR,2012,10.5410011
Turkey,TUR,2014,11.48057285
Turkey,TUR,2016,13.15291498
Turkmenistan,TKM,2012,0.026576055
Turkmenistan,TKM,2014,0.042075777
Turkmenistan,TKM,2018,0.090641823
Turkmenistan,TKM,2016,0.070641823
Tuvalu,TUV,2012,4.190334296
Tuvalu,TUV,2014,4.101348888
Tuvalu,TUV,2018,5.008908686
Tuvalu,TUV,2016,4.008908686
Uganda,UGA,2018,0.3
Uganda,UGA,2012,0.111115278
Uganda,UGA,2014,0.149541378
Uganda,UGA,2016,0.232325189
Ukraine,UKR,2018,12.80325605
Ukraine,UKR,2012,8.037551512
Ukraine,UKR,2014,9.30621027
Ukraine,UKR,2016,12.03425849
United Arab Emirates,ARE,2018,31.40460882
United Arab Emirates,ARE,2012,10.44662223
United Arab Emirates,ARE,2014,11.84873307
United Arab Emirates,ARE,2016,13.86163628
United Kingdom,GBR,2018,39.5970259
United Kingdom,GBR,2012,33.60800177
United Kingdom,GBR,2014,36.27131583
United Kingdom,GBR,2016,38.42293963
United States of America,USA,2012,29.45894011
United States of America,USA,2014,30.69286505
United States of America,USA,2016,32.72717192
United States of America,USA,2018,33.89369182
Uruguay,URY,2018,28.33601746
Uruguay,URY,2012,17.18476757
Uruguay,URY,2014,24.71039008
Uruguay,URY,2016,26.91712257
Uzbekistan,UZB,2018,12.69699784
Uzbekistan,UZB,2012,0.748996253
Uzbekistan,UZB,2014,2.696508044
Uzbekistan,UZB,2016,8.734755262
Vanuatu,VUT,2012,0.124248995
Vanuatu,VUT,2014,1.731416358
Vanuatu,VUT,2018,1.875827255
Vanuatu,VUT,2016,1.575827255
Venezuela,VEN,2018,9.016399628
Venezuela,VEN,2012,6.936821999
Venezuela,VEN,2014,7.988834525
Venezuela,VEN,2016,8.756720614
Vietnam,VNM,2018,13.6002095
Vietnam,VNM,2012,5.317667686
Vietnam,VNM,2014,6.542661911
Vietnam,VNM,2016,9.716197135
Yemen,YEM,2018,1.355606503
Yemen,YEM,2012,0.683605537
Yemen,YEM,2014,1.316630966
Yemen,YEM,2016,1.016699372
Zambia,ZMB,2018,0.416258734
Zambia,ZMB,2012,0.103690594
Zambia,ZMB,2014,0.133255081
Zambia,ZMB,2016,0.194237673
Zimbabwe,ZWE,2018,1.40632166
Zimbabwe,ZWE,2012,0.548259074
Zimbabwe,ZWE,2014,1.120462817
Zimbabwe,ZWE,2016,1.217633426
